step,time,potential_energy,kinetic_energy,total_energy
0,0,-0.5222721084069561,8.000131142699203,7.477859034292247
1,0.01,-0.5226633657646222,8.000521986489076,7.477858620724454
2,0.02,-0.5233093348465201,8.00116757620972,7.477858241363201
3,0.03,-0.5242054797058843,8.00206337447205,7.477857894766165
4,0.04,-0.5253476644525475,8.003205244075417,7.47785757962287
5,0.05,-0.5267321373273983,8.004589432075736,7.477857294748338
6,0.06,-0.5283555163465564,8.00621255542417,7.477857039077614
7,0.07,-0.5302147764465485,8.008071588107654,7.4778568116611055
8,0.08,-0.5323072380721122,8.010163849732777,7.477856611660664
9,0.09,-0.5346305571578975,8.012486995504265,7.477856438346367
10,0.1,-0.5371827164643247,8.015039007558272,7.477856291093947
11,0.11,-0.5399620182362667,8.017818187619126,7.477856169382859
12,0.12,-0.542967078161098,8.020823150955984,7.477856072794886
13,0.13,-0.5461968206100563,8.024052821623357,7.477856001013301
14,0.14,-0.5496504751538255,8.027506428976377,7.4778559538225515
15,0.15,-0.5533275743498373,8.031183505458223,7.477855931108386
16,0.16,-0.5572279528050378,8.0350838856635,7.477855932858462
17,0.17,-0.5613517475238178,8.0392077066872,7.477855959163382
18,0.18,-0.5656993995565281,8.043555409774665,7.4778560102181375
19,0.19,-0.5702716569695319,8.048127743293481,7.477856086323949
20,0.2,-0.5750695791631317,8.05292576705365,7.477856187890517
21,0.21,-0.580094542569044,8.057950858007693,7.4778563154386495
22,0.22,-0.5853482477644065,8.063204717367677,7.477856469603271
23,0.23,-0.5854270359439844,8.068804866041306,7.4833778300973215
24,0.24,-0.5970687232831868,8.07487523167795,7.477806508394764
25,0.25,-0.6034979266121224,8.081304788910732,7.47780686229861
26,0.26,-0.6101702659785156,8.08797751466571,7.477807248687194
27,0.27,-0.6170906371215986,8.0948983064966,7.477807669375001
28,0.28,-0.6242643684773728,8.102072494817527,7.477808126340154
29,0.29,-0.631697246731185,8.109505868466075,7.47780862173489
30,0.3,-0.634062471594812,8.117294032357039,7.483231560762227
31,0.31,-0.6422084150132795,8.12544057903434,7.48323216402106
32,0.32,-0.6452984466433044,8.133945097787151,7.488646651143847
33,0.33,-0.6541656193408529,8.142812986510743,7.488647367169889
34,0.34,-0.6633173553163333,8.151965489041793,7.48864813372546
35,0.35000000000000003,-0.6674127477868141,8.161493803129707,7.4940810553428925
36,0.36,-0.6775741286709764,8.171570272384436,7.49399614371346
37,0.37,-0.6936764439871699,8.182202400820747,7.488525956833578
38,0.38,-0.7047144395151272,8.193241471688623,7.488527032173495
39,0.39,-0.7160962876781242,8.204624468058352,7.488528180380228
40,0.4,-0.7278365168585769,8.21636592369077,7.488529406832193
41,0.41000000000000003,-0.734547924188205,8.228547480357513,7.493999556169308
42,0.42,-0.7471831089420957,8.24118407506975,7.494000966127654
43,0.43,-0.7602231758747248,8.254225648788239,7.494002472913515
44,0.44,-0.7682235652876428,8.267755092211923,7.4995315269242795
45,0.45,-0.782258568268567,8.281791828858848,7.499533260590281
46,0.46,-0.7913553305132249,8.296351179499217,7.504995848985992
47,0.47000000000000003,-0.8064575295560799,8.311455370356455,7.5049978408003755
48,0.48,-0.8275739177561342,8.327132183184304,7.49955826542817
49,0.49,-0.8438505013275964,8.343411066535129,7.499560565207533
50,0.5,-0.8662379143940899,8.360319501901106,7.494081587507016
51,0.51,-0.8893642888307006,8.377940116610027,7.488575827779327
52,0.52,-0.9022494182689564,8.396301790266559,7.494052371997602
53,0.53,-0.9213355633721936,8.415390992690865,7.494055429318672
54,0.54,-0.9411355278588124,8.43519424313526,7.494058715276448
55,0.55,-0.9616916255545278,8.455753875330647,7.494062249776119
56,0.56,-0.9830494423950715,8.477115497135776,7.4940660547407045
57,0.5700000000000001,-1.0052581320851608,8.499328286426167,7.4940701543410055
58,0.58,-1.0283707428436106,8.52244531809508,7.49407457525147
59,0.59,-1.0524445788756098,8.546523925809725,7.4940793469341145
60,0.6,-1.0775416006342624,8.571626102586862,7.4940845019525995
61,0.61,-1.103728868391265,8.597818944709294,7.494090076318029
62,0.62,-1.1365820542759193,8.625217871337696,7.488635817061777
63,0.63,-1.1652602534014016,8.653902611266535,7.4886423578651335
64,0.64,-1.195267293138091,8.683916744147368,7.488649451009277
65,0.65,-1.2266961877751767,8.715353338199964,7.488657150424787
66,0.66,-1.2596481180272268,8.748313633703333,7.488665515676106
67,0.67,-1.2942332583779281,8.782907870825788,7.48867461244786
68,0.68,-1.330571693285543,8.819256206293867,7.488684513008324
69,0.6900000000000001,-1.3687944299444708,8.857489726556466,7.488695296611995
70,0.7000000000000001,-1.4090445148093764,8.897751564592772,7.488707049783396
71,0.71,-1.4514782599002243,8.940198126295634,7.48871986639541
72,0.72,-1.496266582649517,8.985000430062893,7.488733847413377
73,0.73,-1.5435964591860436,9.03234555930116,7.488749100115116
74,0.74,-1.5936724846815196,9.08243822118952,7.488765736508
75,0.75,-1.6467185245587361,9.135502395093042,7.488783870534306
76,0.76,-1.7029794252765735,9.191783038743203,7.488803613466629
77,0.77,-1.762722730582899,9.2515477972006,7.4888250666177
78,0.78,-1.8153529375208215,9.315186227357055,7.499833289836233
79,0.79,-1.8778240645265796,9.383093322549946,7.505269258023366
80,0.8,-1.950218145844698,9.455514312720513,7.505296166875816
81,0.81,-2.0274177185978206,9.532742482737152,7.505324764139331
82,0.8200000000000001,-2.1098203184953466,9.615175084644946,7.505354766149599
83,0.8300000000000001,-2.1978463780824886,9.70323202398953,7.505385645907042
84,0.84,-2.2974467790917648,9.797373674203278,7.499926895111514
85,0.85,-2.398083991871906,9.89804027402328,7.499956282151374
86,0.86,-2.505654318551869,10.005636270701228,7.4999819521493585
87,0.87,-2.620548640621143,10.120549092747916,7.500000452126773
88,0.88,-2.7486222781095004,10.243140797764749,7.494518519655248
89,0.89,-2.8790625838371833,10.373567223833168,7.494504639995985
90,0.9,-3.0172088076797863,10.511668240774533,7.494459433094747
91,0.91,-3.162576262985411,10.656943080796005,7.494366817810594
92,0.92,-3.3195817183636196,10.808328091050441,7.488746372686822
93,0.93,-3.475349955949694,10.963834651691716,7.488484695742022
94,0.9400000000000001,-3.63209403015587,11.120181663274368,7.488087633118497
95,0.9500000000000001,-3.7849399741207175,11.272458016312893,7.487518042192175
96,0.96,-3.9215049714727837,11.413755239095714,7.49225026762293
97,0.97,-4.049281090279884,11.53510794762057,7.485826857340687
98,0.98,-4.141141351506215,11.62599622861925,7.484854877113035
99,0.99,-4.192611093910508,11.67676230895882,7.484151215048311
100,1,-4.19928241373508,11.683485074806974,7.484202661071894
